Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
2024-01-02,184.08151245117188,138.73532104492188,366.1055603027344,186.85800888690832,139.78409481296455,371.07094047816395,182.34620407017263,136.92608352762693,362.0582255182153,185.57883023572913,138.77509317462506,369.0571391968686,82488700,20071900,25258600
2024-01-03,182.7031707763672,139.53060913085938,365.8390197753906,184.31949132166326,140.25629129161408,368.46485117398277,181.8900476382689,137.6120056714196,363.77587298911,182.6734238450404,137.78101448467874,364.2694496401492,58414500,18974300,23083500
2024-01-04,180.3828125,137.22430419921875,363.2131652832031,181.55289876959398,139.80397135530865,368.30687961312606,179.36146088139282,137.1944826850485,362.4530681341208,180.62078794157884,139.02362150968963,365.9081044717195,71983600,18253300,20901500
2024-01-05,179.65895080566406,136.5781707763672,363.0256652832031,181.22568820887324,137.98977826804722,367.2802940556776,178.6574354024576,136.04136827560893,361.79172352493254,180.46216340525032,137.53449196269077,364.2299936442964,62379700,15439500,21004600
2024-01-08,184.00218200683594,139.69961547851562,369.87646484375,184.04185467153414,139.8089661018843,370.3799226566514,179.97626898919978,137.06528023639635,364.26944144422686,180.56131218264795,137.18456630966188,364.5556942050089,59144500,17645300,23134000
2024-01-09,183.585693359375,141.71759033203125,370.9623718261719,183.59560395931726,141.95617759872704,371.15978442404423,181.19592240352762,138.9639544073305,366.4214603176876,182.37593441619447,139.23236318628543,367.23093330789527,42841800,19579700,20830000
2024-01-10,184.6268768310547,142.95030212402344,377.8526611328125,184.8351053395885,143.67100906485368,379.23469986544035,182.3759299825551,141.61822370064812,371.48554036689814,182.8023278606972,141.67786673921324,371.5348859821227,46792900,16641900,25514200
2024-01-11,184.0319061279297,142.82106018066406,379.6888122558594,185.47965559618967,145.79339789850505,385.66107820004805,182.07844372761645,141.37465587409704,375.4934103589662,184.97392753345,144.03882779158968,381.0412075766554,49128400,17471100,27850800
2024-01-12,184.35914611816406,143.38768005371094,383.4794616699219,185.17226924419936,143.88472551472387,383.68675543751164,183.63527891547233,142.51287518836864,379.7085286566561,184.49797017252533,143.48708004473932,380.53773385254453,40477800,13998700,21661200
