Date,Ticker,Close,High,Low,Open,Volume
2024-01-02,AAPL,184.08151245117188,186.85800888690832,182.34620407017263,185.57883023572916,82488700.0
2024-01-02,GOOG,138.73532104492188,139.78409481296455,136.92608352762693,138.77509317462506,20071900.0
2024-01-02,MSFT,366.1055603027344,371.070940478164,362.0582255182153,369.0571391968686,25258600.0
2024-01-03,AAPL,182.7031707763672,184.3194913216633,181.8900476382689,182.6734238450404,58414500.0
2024-01-03,GOOG,139.53060913085938,140.25629129161408,137.6120056714196,137.78101448467874,18974300.0
2024-01-03,MSFT,365.8390197753906,368.4648511739828,363.77587298911,364.2694496401492,23083500.0
2024-01-04,AAPL,180.3828125,181.552898769594,179.36146088139282,180.62078794157884,71983600.0
2024-01-04,GOOG,137.22430419921875,139.80397135530865,137.1944826850485,139.02362150968963,18253300.0
2024-01-04,MSFT,363.2131652832031,368.30687961312606,362.4530681341208,365.9081044717195,20901500.0
2024-01-05,AAPL,179.65895080566406,181.22568820887324,178.6574354024576,180.46216340525032,62379700.0
2024-01-05,GOOG,136.5781707763672,137.98977826804722,136.04136827560893,137.53449196269077,15439500.0
2024-01-05,MSFT,363.0256652832031,367.2802940556776,361.7917235249325,364.2299936442964,21004600.0
2024-01-08,AAPL,184.00218200683597,184.0418546715341,179.97626898919978,180.56131218264795,59144500.0
2024-01-08,GOOG,139.69961547851562,139.8089661018843,137.06528023639635,137.18456630966188,17645300.0
2024-01-08,MSFT,369.87646484375,370.3799226566514,364.26944144422686,364.5556942050089,23134000.0
2024-01-09,AAPL,183.585693359375,183.5956039593173,181.1959224035276,182.37593441619447,42841800.0
2024-01-09,GOOG,141.71759033203125,141.95617759872704,138.9639544073305,139.23236318628545,19579700.0
2024-01-09,MSFT,370.9623718261719,371.1597844240442,366.4214603176876,367.23093330789527,20830000.0
2024-01-10,AAPL,184.6268768310547,184.8351053395885,182.3759299825551,182.8023278606972,46792900.0
2024-01-10,GOOG,142.95030212402344,143.67100906485368,141.61822370064812,141.67786673921324,16641900.0
2024-01-10,MSFT,377.8526611328125,379.2346998654404,371.4855403668981,371.5348859821227,25514200.0
2024-01-11,AAPL,184.0319061279297,185.47965559618967,182.07844372761645,184.97392753345,49128400.0
2024-01-11,GOOG,142.82106018066406,145.79339789850505,141.37465587409704,144.03882779158968,17471100.0
2024-01-11,MSFT,379.6888122558594,385.66107820004805,375.4934103589662,381.0412075766554,27850800.0
2024-01-12,AAPL,184.3591461181641,185.17226924419936,183.63527891547236,184.49797017252533,40477800.0
2024-01-12,GOOG,143.38768005371094,143.88472551472387,142.51287518836864,143.48708004473932,13998700.0
2024-01-12,MSFT,383.4794616699219,383.6867554375117,379.7085286566561,380.5377338525445,21661200.0
2024-01-16,AAPL,182.08837890625,182.71307958868687,179.41103406753936,180.63071876275188,65603000.0
2024-01-16,GOOG,143.2286376953125,144.97823245073823,142.21068641572148,142.58246942340713,19198900.0
2024-01-16,MSFT,385.2563171386719,388.9680232792621,382.6403668536405,388.6027813692521,27202300.0
2024-01-17,AAPL,181.14633178710935,181.3942329517824,178.78632298828933,179.74818071767538,47317400.0
2024-01-17,GOOG,142.045654296875,142.56258583466206,139.67971299760342,142.0655403629579,17884500.0
